@relation MarketData

@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute class {HOLD,BUY,SELL}

@data
0.453267,0.43136,0.454406,0.440036,0.422385,HOLD
0.442659,0.528107,0.435327,0.578968,-0.163869,HOLD
0.584988,0.568794,0.548934,0.589587,-0.528889,HOLD
0.590292,0.568794,0.528988,0.486937,-0.591752,HOLD
0.490396,0.438593,0.441397,0.39933,-0.222564,HOLD
0.401993,0.465719,0.442264,0.509945,-0.247918,HOLD
0.510729,0.516352,0.544598,0.534722,0.241438,HOLD
0.53725,0.621236,0.570615,0.5595,0.930496,HOLD
0.562003,0.538053,0.509909,0.45508,0.372373,HOLD
0.456803,0.434977,0.476954,0.476318,-0.405248,HOLD
0.478904,0.45306,0.505572,0.495786,-0.560494,HOLD
0.499237,0.465719,0.543731,0.513484,-0.6178,HOLD
0.516917,0.467527,0.546333,0.494901,-0.519512,HOLD
0.497468,0.489227,0.540262,0.539147,-0.664339,HOLD
0.538134,0.554328,0.574084,0.532952,-1.089096,HOLD
0.568191,0.501886,0.541996,0.481627,-1.353397,HOLD
0.485976,0.480185,0.532457,0.483397,-0.969622,HOLD
0.485092,0.421414,0.430123,0.400215,-0.39726,HOLD
0.407297,0.340943,0.331258,0.301104,-0.017653,HOLD
0.303866,0.299351,0.345134,0.34004,-0.303834,HOLD
0.339227,0.315626,0.372886,0.350659,-0.478877,HOLD
0.350719,0.304776,0.39023,0.346235,-0.582027,HOLD
0.347183,0.325572,0.39977,0.34004,-0.22048,HOLD
0.343647,0.411468,0.369417,0.403754,-0.080168,HOLD
0.403761,0.386151,0.220252,0.202878,-0.136085,HOLD
0.210158,0.225209,0.237597,0.281636,0.06709,HOLD
0.283533,0.274034,0.273154,0.301989,-0.391008,HOLD
0.30475,0.241484,0.289631,0.24093,-0.448314,HOLD
0.244635,0.263184,0.258411,0.274556,-0.272229,HOLD
0.276461,0.364451,0.330391,0.372782,0.115713,HOLD
0.375472,0.30568,0.313046,0.254203,0.822483,HOLD
0.25878,0.281267,0.241933,0.173676,2.347857,HOLD
0.174797,0.126654,0.159546,0.197569,1.185767,HOLD
0.198666,0.128462,0.072823,0.014391,-0.073917,HOLD
0.018323,-0.015301,0.013851,0.006426,-0.232636,HOLD
0.011251,-0.044235,0.055478,-0.021006,-0.378852,HOLD
-0.020574,-0.079498,-0.022573,-0.066137,-0.528889,HOLD
-0.064776,-0.138269,-0.093686,-0.166133,-0.555632,HOLD
-0.131962,-0.197944,-0.133579,-0.166133,-1.249899,HOLD
-0.154947,-0.228686,-0.186481,-0.261704,-1.191551,HOLD
-0.262799,-0.282032,-0.298354,-0.210379,-0.801525,HOLD
-0.207105,-0.264853,-0.267133,-0.215688,-0.215271,HOLD
-0.215061,-0.262141,-0.177808,-0.24843,-0.403859,HOLD
-0.245118,-0.317295,-0.199489,-0.252855,-0.4952,HOLD
-0.251306,-0.26847,-0.182144,-0.19445,-0.543823,HOLD
-0.19296,-0.275703,-0.157862,-0.201529,-0.700806,HOLD
-0.200917,-0.237728,-0.150924,-0.217458,-0.5598,HOLD
-0.215061,-0.237728,-0.182144,-0.235156,-0.253127,HOLD
-0.23009,-0.141886,-0.202958,-0.102419,0.333475,HOLD
-0.098369,-0.139173,-0.124907,-0.183831,-0.17533,HOLD
-0.182352,-0.137365,-0.117969,-0.08826,-0.74804,HOLD
-0.085992,0.011824,-0.054661,0.059521,-0.422266,HOLD
0.057221,-0.00626,-0.003494,-0.052863,-0.338218,HOLD
-0.052399,-0.111144,-0.030378,-0.079411,0.075078,HOLD
-0.077152,-0.158161,-0.105828,-0.094454,0.609584,HOLD
-0.091297,0.055224,-0.127509,-0.049324,4.000692,HOLD
-0.047095,-0.111144,-0.111031,-0.129851,1.240294,HOLD
-0.128426,-0.11476,-0.138783,-0.058173,-0.227079,HOLD
-0.055935,-0.09306,-0.02344,-0.059943,-0.594878,HOLD
-0.057703,-0.066839,-0.012166,-0.036935,0.333475,HOLD
-0.034719,-0.07136,0.010382,-0.03605,-0.47332,HOLD
-0.032951,-0.046043,0.043337,-0.013927,-0.665034,HOLD
-0.018806,-0.027056,-0.052059,0.048902,-1.239827,HOLD
